v_prime, v
8.0, 37.0
12.0, 32.0
13.0, 36.0
11.0, 37.0
12.0, 35.0
12.0, 35.0
11.0, 35.0
17.0, 35.0
12.0, 38.0
12.0, 34.0
12.0, 36.0
6.0, 38.0
10.0, 35.0
18.0, 36.0
10.0, 36.0
8.0, 34.0
14.0, 32.0
14.0, 36.0
18.0, 31.0
9.0, 38.0
10.0, 36.0
7.0, 35.0
11.0, 33.0
17.0, 31.0
17.0, 29.0
14.0, 33.0
14.0, 39.0
16.0, 34.0
10.0, 38.0
11.0, 36.0
18.0, 35.0
9.0, 36.0
11.0, 35.0
15.0, 33.0
15.0, 36.0
14.0, 34.0
11.0, 31.0
14.0, 37.0
10.0, 30.0
9.0, 38.0
15.0, 28.0
13.0, 34.0
15.0, 32.0
26.0, 31.0
21.0, 33.0
10.0, 36.0
11.0, 37.0
15.0, 35.0
9.0, 35.0
7.0, 42.0
10.0, 35.0
25.0, 42.0
12.0, 36.0
17.0, 31.0
11.0, 37.0
7.0, 38.0
15.0, 34.0
13.0, 35.0
9.0, 35.0
14.0, 31.0
13.0, 36.0
19.0, 30.0
9.0, 35.0
16.0, 30.0
11.0, 37.0
8.0, 36.0
16.0, 34.0
10.0, 37.0
14.0, 37.0
17.0, 30.0
9.0, 37.0
14.0, 34.0
9.0, 35.0
9.0, 34.0
12.0, 36.0
9.0, 38.0
14.0, 34.0
15.0, 35.0
23.0, 33.0
17.0, 36.0
14.0, 33.0
16.0, 30.0
16.0, 37.0
13.0, 33.0
15.0, 35.0
8.0, 38.0
15.0, 34.0
10.0, 32.0
12.0, 39.0
13.0, 29.0
18.0, 31.0
16.0, 36.0
8.0, 35.0
10.0, 36.0
16.0, 36.0
10.0, 33.0
13.0, 36.0
14.0, 34.0
10.0, 36.0
8.0, 37.0
11.0, 37.0
16.0, 32.0
11.0, 37.0
13.0, 35.0
11.0, 33.0
15.0, 34.0
15.0, 32.0
13.0, 34.0
8.0, 36.0
10.0, 38.0
10.0, 37.0
15.0, 32.0
22.0, 32.0
15.0, 34.0
7.0, 35.0
11.0, 36.0
8.0, 37.0
5.0, 34.0
10.0, 36.0
14.0, 34.0
10.0, 34.0
21.0, 35.0
16.0, 31.0
15.0, 35.0
15.0, 30.0
10.0, 38.0
7.0, 38.0
15.0, 33.0
17.0, 35.0
8.0, 36.0
10.0, 33.0
14.0, 34.0
11.0, 36.0
17.0, 34.0
18.0, 30.0
10.0, 37.0
24.0, 35.0
15.0, 35.0
9.0, 39.0
11.0, 34.0
12.0, 36.0
12.0, 36.0
15.0, 30.0
24.0, 35.0
17.0, 34.0
20.0, 29.0
10.0, 42.0
12.0, 39.0
15.0, 35.0
12.0, 37.0
12.0, 35.0
11.0, 37.0
9.0, 37.0
12.0, 35.0
11.0, 34.0
10.0, 37.0
15.0, 33.0
19.0, 31.0
14.0, 32.0
13.0, 34.0
5.0, 39.0
16.0, 33.0
17.0, 29.0
8.0, 37.0
11.0, 34.0
16.0, 33.0
8.0, 37.0
14.0, 33.0
9.0, 31.0
15.0, 32.0
6.0, 38.0
12.0, 35.0
13.0, 38.0
11.0, 37.0
14.0, 26.0
10.0, 35.0
11.0, 33.0
16.0, 33.0
14.0, 39.0
21.0, 33.0
9.0, 35.0
15.0, 35.0
14.0, 34.0
13.0, 34.0
12.0, 34.0
12.0, 34.0
11.0, 37.0
16.0, 33.0
18.0, 36.0
19.0, 33.0
23.0, 29.0
9.0, 37.0
16.0, 33.0
14.0, 37.0
15.0, 31.0
13.0, 31.0
19.0, 36.0
9.0, 36.0
15.0, 32.0
11.0, 33.0
15.0, 35.0
14.0, 33.0
15.0, 35.0
8.0, 32.0
14.0, 38.0
10.0, 34.0
6.0, 38.0
11.0, 37.0
11.0, 36.0
15.0, 36.0
14.0, 38.0
13.0, 36.0
17.0, 38.0
13.0, 35.0
15.0, 32.0
15.0, 34.0
14.0, 38.0
16.0, 28.0
11.0, 37.0
12.0, 37.0
13.0, 36.0
13.0, 33.0
29.0, 42.0
13.0, 34.0
11.0, 37.0
14.0, 31.0
8.0, 38.0
14.0, 33.0
15.0, 32.0
11.0, 35.0
15.0, 36.0
13.0, 35.0
13.0, 35.0
18.0, 32.0
17.0, 30.0
10.0, 38.0
15.0, 37.0
13.0, 37.0
5.0, 37.0
7.0, 35.0
16.0, 30.0
19.0, 35.0
10.0, 35.0
10.0, 36.0
12.0, 36.0
15.0, 34.0
14.0, 37.0
8.0, 38.0
9.0, 32.0
6.0, 37.0
9.0, 37.0
16.0, 34.0
14.0, 33.0
17.0, 27.0
14.0, 38.0
18.0, 29.0
14.0, 35.0
12.0, 37.0
13.0, 34.0
9.0, 38.0
12.0, 34.0
12.0, 34.0
19.0, 27.0
7.0, 38.0
8.0, 38.0
14.0, 34.0
15.0, 32.0
17.0, 35.0
21.0, 31.0
11.0, 34.0
10.0, 37.0
15.0, 35.0
14.0, 35.0
13.0, 37.0
15.0, 33.0
15.0, 30.0
14.0, 35.0
13.0, 35.0
10.0, 38.0
10.0, 37.0
18.0, 33.0
11.0, 36.0
10.0, 37.0
12.0, 30.0
18.0, 35.0
9.0, 36.0
